id,nome,categoria,descricao,especificacoes,aplicacao,imagem_capa,imagem_galeria,destaque,ativo
mesa-escritorio-reta,Mesa Escritório Reta,Mesas,"Trata-se de uma mesa de trabalho no formato retangular simples e funcional, com acabamento na cor cinza-claro (ou branco gelo/cinza platina). Possui tampo reto em MDP/MDF revestido em melamina e estrutura/pés metálicos em formato ""T"" invertido (ou ""C""), o que oferece uma boa estabilidade estrutural e espaço livre para as pernas dos usuários.",Dimensões: 120x60cm | Tampo: Tampo em MDP 25mm com fita de borda de proteção | Gaveteiro: 2 gavetas com corrediças | Estrutura: Estrutura em aço com pintura eletrostática e sapatas niveladoras,Home office e escritórios com espaço reduzido,mesa-escritorio-reta.jpeg,mesa-escritorio-reta.jpeg,TRUE,TRUE
mesa-escritorio-reta-amadeirada-pe-painel,Mesa de Escritório Reta Tampo Amadeirado Pé Painel,Mesas,"Trata-se de uma mesa de trabalho no formato retangular com design corporativo e elegante. Apresenta tampo encorpado com acabamento amadeirado e estrutura estilo pé painel na cor preta com saia frontal, oferecendo alta durabilidade, estabilidade e excelente aproveitamento de espaço.",,Dimensões: 120x60cm | Tampo: Tampo engrossado em MDP 30mm com fita de borda de proteção | Estrutura: Pés painel e saia em MDP 25mm com sapatas niveladoras de altura,mesa-escritorio-reta-amadeirada-pe-painel.jpeg,mesa-escritorio-reta-amadeirada-pe-painel.jpeg,TRUE,TRUE
mesa-reuniao-reta-amadeirada-com-caixa-de-tomada,Mesa de Reunião Reta Tampo Amadeirado com Caixa de Tomada,Mesas,"Trata-se de uma mesa de reunião retangular ampla, com acabamento do tampo em tom amadeirado claro e estrutura estilo pé painel na cor preta. Conta com caixa de tomada centralizada (passa-cabos) integrada ao tampo para facilitar a conexão de equipamentos eletrônicos, combinando elegância corporativa, estabilidade e praticidade para reuniões de trabalho.",Dimensões: 200x100cm | Tampo: Tampo engrossado em MDP 40mm com fita de borda de proteção e caixa passa-cabos/tomada embutida | Estrutura: Pés painel e saia central em MDP 25mm com sapatas niveladoras de altura,"Salas de reunião, diretoria, escritórios corporativos e espaços colaborativos de trabalho",mesa-reuniao-reta-amadeirada-com-caixa-de-tomada.jpeg,mesa-reuniao-reta-amadeirada-com-caixa-de-tomada.jpeg,TRUE,TRUE
cadeira-caixa-executiva-alta-giratoria,Caixa Executiva Alta Giratória com Aro Apoio para os Pés,Cadeiras,"Trata-se de uma cadeira alta modelo caixa (estilo mocho/giratória) com assento e encosto estofados e revestidos em material sintético (courvin/vinil) na cor preta. Conta com regulagem de altura a gás, coluna alta, aro metálico apoio para os pés e base fixa de 5 patas sem rodízios, oferecendo firmeza, ergonomia e estabilidade para postos de trabalho elevados.","Dimensões: Assento 46x43cm | Encosto: 36x30cm | Altura do assento: Ajustável de 60 a 72cm | Revestimento: Couro sintético (courvin) de fácil limpeza | Assento/Encosto: Espuma injetada de alta densidade | Estrutura: Base em aço com pintura eletrostática preta, aro para pés integrado e sapatas fixas antiderrapantes","Recepções, balcões de atendimento, caixas, portarias, almoxarifados e postos de trabalho altos",cadeira-caixa-executiva-alta-giratoria.jpeg,cadeira-caixa-executiva-alta-giratoria.jpeg,TRUE,TRUE
cadeira-escritorio-diretor-giratoria-tela-mesh,Cadeira de Escritório Giratória Operacional Tela Mesh,Cadeiras,"Trata-se de uma cadeira de escritório ergonômica e moderna na cor preta, desenvolvida para proporcionar conforto em longas jornadas de trabalho. Conta com encosto em tela mesh respirável com apoio lombar integrado, assento estofado revestido em tecido, apoios de braço e base giratória com regulagem de altura e rodízios para fácil mobilidade.","Dimensões: Assento 48x48cm | Encosto: 48x50cm | Altura do assento: Ajustável de 43 a 53cm | Revestimento: Encosto em tela mesh respirável e assento estofado em tecido poliéster de alta resistência | Estrutura: Pistas a gás para regulagem de altura, braços fixos em polipropileno e base giratória nylon/aço com 5 rodízios em PU/Nylon","Escritórios corporativos, postos de trabalho operacionais, salas de reunião e ambientes de home office",cadeira-escritorio-diretor-giratoria-tela-mesh.jpeg,cadeira-escritorio-diretor-giratoria-tela-mesh.jpeg,TRUE,TRUE
cadeira-escritorio-diretor-giratoria-cromada-tela-mesh,Cadeira de Escritório Diretor Giratória Cromada em Tela Mesh,Cadeiras,"Trata-se de uma cadeira de escritório modelo diretor com design sofisticado e moderno na cor preta. Conta com encosto alto em tela mesh respirável, assento estofado revestido em tecido, apoios de braço estofados com detalhe cromado e base giratória cromada com regulagem de altura a gás e rodízios, proporcionando ergonomia e elegância ao ambiente corporativo.","Dimensões: Assento 50x50cm | Encosto: 50x65cm | Altura do assento: Ajustável de 45 a 55cm | Revestimento: Encosto em tela mesh respirável e assento estofado em tecido poliéster de alta densidade | Estrutura: Base giratória em aço cromado de 5 hastes, sistema relax com regulagem de altura a gás, braços fixos cromados com apoio revestido e rodízios duplos em nylon","Salas de diretoria, escritórios executivos, salas de reunião e ambientes de home office refinados",cadeira-escritorio-diretor-giratoria-cromada-tela-mesh.jpeg,cadeira-escritorio-diretor-giratoria-cromada-tela-mesh.jpeg,TRUE,TRUE
cadeira-escritorio-presidente-giratoria-bege-cromada,Cadeira de Escritório Presidente Giratória Charles Eames Bege,Cadeiras,"Trata-se de uma cadeira de escritório modelo presidente com design clássico e sofisticado na cor bege (bege/fendi). Conta com acabamento em costura horizontal gomada (estilo Charles Eames), encosto alto ergonômico, apoios de braço metálicos cromados com revestimento e base giratória cromada com regulagem de altura a gás e rodízios, combinando elegância, conforto e destaque para o ambiente de trabalho.","Dimensões: Assento 50x50cm | Encosto: 50x68cm | Altura do assento: Ajustável de 45 a 55cm | Revestimento: Couro ecológico (PU/Sintético) na cor bege | Estrutura: Base giratória em aço cromado de 5 hastes, sistema relax com travamento, regulagem de altura por pistão a gás, braços fixos cromados com apoio revestido e rodízios duplos em nylon","Salas de diretoria, escritórios executivos, consultórios e ambientes sofisticados de home office",cadeira-escritorio-presidente-giratoria-bege-cromada.jpeg,cadeira-escritorio-presidente-giratoria-bege-cromada.jpeg,TRUE,TRUE
cadeira-escritorio-operacional-giratoria-grid-preta,Cadeira de Escritório Giratória Operacional Encosto Grid,Cadeiras,"Trata-se de uma cadeira de escritório ergonômica na cor preta, com encosto estruturado em grelha/grid perfurada em polipropileno que proporciona excelente ventilação e apoio anatômico. Conta com assento estofado revestido em tecido de alta durabilidade, apoios de braço e base giratória com regulagem de altura a gás e rodízios para fácil mobilidade.","Dimensões: Assento 48x48cm | Encosto: 46x48cm | Altura do assento: Ajustável de 43 a 53cm | Revestimento: Encosto em polipropileno perfurado (grid) e assento estofado em tecido poliéster de alta densidade | Estrutura: Pistão a gás para regulagem de altura, braços fixos em polipropileno e base giratória com 5 rodízios em nylon","Escritórios corporativos, postos de trabalho operacionais, salas de treinamento e ambientes de home office",cadeira-escritorio-operacional-giratoria-grid-preta.jpeg,cadeira-escritorio-operacional-giratoria-grid-preta.jpeg,TRUE,TRUE
cadeira-eames-eiffel-base-madeira-preta,Cadeira Eames Eiffel Base Madeira Preta,Cadeiras,"Trata-se de uma cadeira decorativa e operacional com design clássico e atemporal no estilo Eames Eiffel na cor preta. Conta com concha única anatômica em polipropileno altamente resistente e base de pés palito em madeira natural com armação metálica de sustentação, unindo modernidade, ergonomia e sofisticação para o ambiente.",Dimensões: Assento 46x40cm | Encosto: 46x40cm | Altura total: 82cm | Altura do assento: 45cm | Material da concha: Polipropileno injetado fosco | Estrutura: Pés em madeira natural (estilo Eiffel) com travamentos em aço com pintura eletrostática e sapatas protetoras de piso,"Salas de reunião criativas, recepções, mesas de atendimento, refeitórios, cantinhos de estudo e home office",cadeira-eames-eiffel-base-madeira-preta.jpeg,cadeira-eames-eiffel-base-madeira-preta.jpeg,TRUE,TRUE
cadeira-escritorio-diretor-giratoria-bracos-integrados-tela-mesh,Cadeira de Escritório Giratória Diretora com Braços Integrados Tela Mesh,Cadeiras,"Trata-se de uma cadeira de escritório ergonômica e funcional na cor preta, projetada para ambientes corporativos e postos operacionais. Conta com encosto médio em tela mesh respirável com apoio lombar suave, assento anatômico estofado, braços integrados à estrutura e base giratória com regulagem de altura a gás e rodízios para fácil mobilidade.","Dimensões: Assento 48x48cm | Encosto: 48x48cm | Altura do assento: Ajustável de 43 a 53cm | Revestimento: Encosto em tela mesh respirável e assento estofado em tecido poliéster de alta durabilidade | Estrutura: Pistão a gás para regulagem de altura, braços fixos em polipropileno de alta resistência e base giratória em nylon com 5 rodízios duplos","Escritórios corporativos, postos de trabalho operacionais, salas de reunião, atendimento ao cliente e home office",cadeira-escritorio-diretor-giratoria-bracos-integrados-tela-mesh.jpeg,cadeira-escritorio-diretor-giratoria-bracos-integrados-tela-mesh.jpeg,TRUE,TRUE
,,,,,,.jpeg,.jpeg,TRUE,TRUE
,,,,,,.jpeg,.jpeg,TRUE,TRUE
,,,,,,.jpeg,.jpeg,TRUE,TRUE
,,,,,,.jpeg,.jpeg,TRUE,TRUE
